53.157: [GC 419456K->63485K(2044736K), 1.0877060 secs]
67.827: [GC 482941K->99869K(2044736K), 1.3144940 secs]
70.794: [GC 190475K->102966K(2044736K), 0.2693970 secs]
71.064: [Full GC 102966K->88948K(2044736K), 2.0637520 secs]
47027.347: [GC 508404K->101710K(2044736K), 0.6218420 secs]
214300.716: [GC 521166K->94116K(2044736K), 0.6324030 secs]
393939.949: [GC 513572K->94762K(2044736K), 0.6145540 secs]
549122.911: [GC 514218K->95461K(2044736K), 0.7008200 secs]
742323.153: [GC 514917K->96092K(2044736K), 0.6992670 secs]
935019.740: [GC 515548K->96821K(2044736K), 0.7337470 secs]
1127881.623: [GC 516277K->97516K(2044736K), 0.5559450 secs]
1322588.357: [GC 516972K->98213K(2044736K), 0.2996120 secs]
1518079.916: [GC 517669K->98942K(2044736K), 0.3715630 secs]
1714506.981: [GC 518398K->99658K(2044736K), 0.3792210 secs]
1911124.872: [GC 519114K->100328K(2044736K), 0.4455820 secs]
2106786.797: [GC 519784K->101049K(2044736K), 0.3795530 secs]
2302663.233: [GC 520505K->101746K(2044736K), 0.4573050 secs]
2498482.032: [GC 521202K->102419K(2044736K), 0.4748410 secs]
2694620.380: [GC 521875K->103101K(2044736K), 0.4296610 secs]
2889907.202: [GC 522557K->103862K(2044736K), 0.4467330 secs]
3085281.646: [GC 523293K->104527K(2044736K), 0.4459040 secs]
3281337.730: [GC 523983K->105208K(2044736K), 0.4241350 secs]
